headline_year,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
airmen,2,3,1,3,1,1,0,1,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
airport,7,5,8,10,9,17,10,11,6,2,8,7,3,11,15,17,10,14,5,10,14,14,8,1,4,5,6,3,0,1,3,3,3,1,5,1,5,1,2,5,1,3,2,1,0,2,1,2,6,0,0,3,0,0,3
airways,1,4,1,3,3,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
al,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,9,3,1,0,0,1,1,0
alarm,1,2,1,3,2,0,0,1,0,1,0,0,0,0,0,2,2,1,0,3,1,1,0,2,2,0,0,2,0,0,1,3,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0
alert,5,4,7,2,2,3,2,2,10,15,6,6,6,12,16,8,8,1,15,11,9,14,7,3,4,3,3,0,1,3,1,3,0,0,1,1,0,1,1,1,3,0,1,0,0,0,0,0,4,3,6,1,1,7,6
alerted,0,0,1,1,0,0,1,1,0,1,1,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
algeria,1,2,1,5,1,1,6,3,1,2,1,0,0,3,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ali,2,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,5,1,0,8,4,2,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aliens,2,0,0,2,3,1,0,0,0,1,0,0,0,0,3,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
alive,2,1,2,1,2,2,2,0,0,1,1,2,4,2,3,6,6,5,4,1,1,5,6,2,2,6,2,1,3,4,1,0,0,0,2,1,2,1,1,2,0,1,1,0,1,0,1,0,1,3,1,0,0,1,2
allegations,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,1,0
alleged,2,1,2,2,3,1,1,3,1,1,0,0,0,1,0,0,0,2,0,0,1,3,2,0,1,0,0,0,0,0,2,3,4,2,1,0,0,2,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0,1,0
alliance,29,15,12,22,39,3,21,10,8,12,5,11,17,3,14,5,5,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1
allies,2,2,0,0,0,0,0,0,1,1,1,0,1,3,1,0,1,0,0,1,2,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
allow,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,2,1,0,3,0,1,1,0,1,3,1,1,0,0,4,3,2,0,1,1,1,1,1,0,0,0,0,0,0,1
allowed,0,0,0,1,0,1,0,1,0,1,0,0,2,1,0,1,1,1,0,0,3,0,1,2,2,1,0,1,3,0,0,0,1,1,2,1,1,0,2,4,2,1,0,0,0,1,0,1,3,2,1,2,0,0,0
alternative,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,1,0,0,1,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
amazing,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ambassador,0,0,1,2,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ambulance,2,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ambush,15,14,6,8,3,1,5,2,3,3,1,4,5,7,12,2,8,8,6,7,8,10,9,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambushed,1,0,1,0,1,0,1,0,0,2,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
amended,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
america,0,1,1,3,0,2,3,1,2,2,0,2,1,0,2,0,1,0,1,0,0,3,1,1,2,0,3,4,2,0,0,2,2,0,1,0,1,0,0,0,0,0,1,1,1,1,1,3,0,1,0,0,0,0,2
american,2,2,4,1,2,1,3,2,1,6,3,0,4,3,5,7,1,0,1,1,0,1,1,0,2,0,3,1,1,3,0,2,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,2
americans,0,1,0,3,1,0,1,2,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
amid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,1,0,1,0,0,2,0,1
ammo,0,1,1,0,1,0,1,0,0,2,0,0,2,2,2,2,1,0,0,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
amnesty,23,2,0,1,3,2,2,0,1,0,0,3,0,0,2,1,2,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
