"word"	"category"
"Malayans"	"personplace"
"Malays"	"government"
"Malaysia"	"personplace"
"Malaysian"	"personplace"
"male"	"events "
"Malta"	"personplace"
"management"	"events "
"manager"	"events "
"Manila"	"personplace"
"Manning"	"personplace"
"Mansfield"	"personplace"
"Manufactured"	"business"
"many"	"events "
"Mara"	"personplace"
"Margin"	"events "
"Maritime"	"events "
"market"	"business"
"Market"	"business"
"markets"	"business"
"marry"	"events "
"Marshal"	"government"
"Maru"	"personplace"
"match"	"events "
"matches"	"events "
"Maulmain"	"personplace"
"mcd"	"remove"
"meet"	"events "
"meeting"	"government"
"Melbourne"	"personplace"
"member"	"events "
"members"	"events "
"Memoriam"	"events "
"men"	"remove"
"message"	"events "
"met"	"events "
"Meyer"	"personplace"
"Michael"	"personplace"
"middle"	"events "
"Midnight"	"events "
"mil"	"business"
"Mil"	"events "
"miles"	"events "
"Military"	"government"
"military"	"government"
"milk"	"events "
"million"	"events "
"minimum"	"business"
"Minimum"	"business"
"Minister"	"government"
"Ministry"	"government"
"Minutes"	"events "
"minutes"	"events "
"Miss"	"remove"
"Moar"	"personplace"
"Model"	"events "
"Moidi"	"personplace"
"money"	"events "
"month"	"business"
"Moon"	"personplace"
"morning"	"events "
"Morning"	"events "
"motor"	"business"
"Motor"	"business"
"motoring"	"business"
"motorist"	"events "
"move"	"events "
"Movements"	"events "
"movie"	"events "
"Muar"	"personplace"
"much"	"remove"
"Mule"	"business"
"Mun"	"personplace"
"Municipal"	"government"
"Mure"	"personplace"
"Murphy"	"personplace"
"music"	"events "
"must"	"remove"
"Nacoda"	"business"
"Nakoda"	"business"
"Name"	"events "
"name"	"events "
"names"	"events "
"Nanking"	"personplace"
"Nathaniel"	"personplace"
"National"	"government"
"national"	"government"
"Nations"	"government"
"Nato"	"government"
"naturally"	"events "
"Naylor"	"personplace"
"near"	"remove"
"need"	"events "
"Negri"	"personplace"
"net"	"business"
"Netherlands"	"personplace"
"never"	"events "
"news"	"events "
"News"	"remove"
"newspaper"	"events "
"nil"	"remove"
"Nil"	"remove"
"Nixon"	"personplace"
"nnd"	"remove"
"nom"	"events "
"none"	"remove"
"Noon"	"events "
"noon"	"events "
"norn"	"events "
"North"	"personplace"
"Nos"	"remove"
"nothing"	"events "
"notice"	"business"
"nuclear"	"government"
"number"	"events "
"Number"	"business"
"numbers"	"events "
"Nurse"	"personplace"
"nut"	"business"
"oar"	"events "
"Obama"	"personplace"
"Observer"	"events "
"oclock"	"events "
"offer"	"events "
"Office"	"business"
"Officer"	"government"
"officers"	"government"
"offices"	"business"
"official"	"government"
"officials"	"government"
"oil"	"business"
"old"	"events "
"Old"	"events "
"Olympia"	"personplace"
"Olympic"	"events "
"Onlooker"	"events "
"open"	"events "
"Open"	"events "
"opened"	"events "
"opinion"	"events "
"Opium"	"business"
"opposition"	"events "
"order"	"events "
"Orders"	"business"
"ordinary"	"events "
"Oriental"	"personplace"
"original"	"events "
"Orion"	"personplace"
"Others"	"events "
"ounces"	"events "
"Outward"	"events "
"Overland"	"business"
"Overseas"	"events "
"owe"	"events "
"packet"	"events "
"padang"	"events "
"Pagar"	"personplace"
"Pahat"	"personplace"
"paid"	"business"
"Paid"	"business"
"Pakistan"	"personplace"
"Palace"	"personplace"
"paper"	"business"
"papers"	"business"
"par"	"remove"
"Par"	"business"
"Parade"	"government"
"Parcels"	"business"
"Paris"	"personplace"
"Park"	"personplace"
"Parliament"	"government"
"part"	"events "
"party"	"events "
"Party"	"government"
"passed"	"events "
"Passenger"	"business"
"passengers"	"business"
"Passengers"	"business"
"pay"	"events "
"pcs"	"business"
"peace"	"events "
"peacefully"	"events "
"Pearl"	"business"
"Peking"	"personplace"
"penalty"	"events "
"Penang"	"personplace"
"Peninsular"	"personplace"
"Pepper"	"business"
"Perak"	"personplace"
"Personal"	"events "
"persons"	"events "
"Peter"	"personplace"
"Philip"	"personplace"
"Philippine"	"personplace"
"Philippines"	"personplace"
"Phillip"	"personplace"
"Phone"	"events "
"photo"	"events "
"photograph"	"events "
"picked"	"events "
"picture"	"events "
"pictures"	"events "
"picul"	"business"
"piculs"	"business"
"Pinang"	"personplace"
"pirates"	"events "
"pis"	"remove"
"place"	"events "
"Planet"	"events "
"plans"	"events "
"plants"	"events "
"play"	"events "
"played"	"events "
"players"	"events "
"pleaded"	"events "
"points"	"events "
"Police"	"personplace"
"police"	"events "
"Port"	"business"
"port"	"business"
"ports"	"business"
"Post"	"business"
"potatoes"	"business"
"Poultry"	"business"
"poultry"	"business"
"pound"	"events "
"pounds"	"business"
"power"	"government"
"Practice"	"events "
"pram"	"events "
"prem"	"business"
"Premier"	"government"
"premises"	"events "
"present"	"events "
"President"	"government"
"presiding"	"events "
